competitionId,competitionName,deadline,enabledDate,evaluationMetric,hostSegment,isKernelsSubmissionsOnly,maxDailySubmissions,maxTeamSize,mergerDeadline,newEntrantDeadline,rewardQuantity,rewardTypeName,totalTeams,awardsPoints,categories.tags
21651,riiid-test-answer-prediction,2021-01-07,2020-10-05,Area Under Receiver Operating Characteristic Curve,featured,TRUE,5,5,2020-12-31,2020-12-31,100000,USD,665,TRUE,"[{'fullPath': 'topic > people and society > education', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27education%27', 'id': 11105, 'fontAwesomeIcon': None, 'scriptCount': 206, 'description': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'datasetCount': 4001, 'displayName': 'education', 'isInherited': False, 'tagUrl': '/tags/education', 'name': 'education', 'totalCount': 4210, 'competitionCount': 3}, {'fullPath': 'data type > tabular data', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27tabular data%27', 'id': 14101, 'fontAwesomeIcon': None, 'scriptCount': 336, 'description': None, 'datasetCount': 334, 'displayName': 'tabular data', 'isInherited': False, 'tagUrl': '/tags/tabular-data', 'name': 'tabular data', 'totalCount': 776, 'competitionCount': 106}]"
22420,cdp-unlocking-climate-solutions,2020-12-02,2020-10-13,,analytics,FALSE,2,5,,,91000,USD,0,FALSE,"[{'fullPath': 'analysis > survey analysis', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27survey analysis%27', 'id': 13213, 'fontAwesomeIcon': None, 'scriptCount': 211, 'description': None, 'datasetCount': 102, 'displayName': 'survey analysis', 'isInherited': False, 'tagUrl': '/tags/survey-analysis', 'name': 'survey analysis', 'totalCount': 315, 'competitionCount': 2}, {'fullPath': 'topic > earth and nature > environment', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27environment%27', 'id': 7302, 'fontAwesomeIcon': None, 'scriptCount': 56, 'description': ""The environment tag is chock full of datasets and kernels that are generally showing how poorly we are treating the planet. One positive side to this tag is that it wasn't printed on paper."", 'datasetCount': 298, 'displayName': 'environment', 'isInherited': False, 'tagUrl': '/tags/environment', 'name': 'environment', 'totalCount': 356, 'competitionCount': 2}, {'fullPath': 'topic > earth and nature > environment > pollution', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27pollution%27', 'id': 7307, 'fontAwesomeIcon': None, 'scriptCount': 49, 'description': 'Pollution is the introduction of contaminants into the natural environment that cause adverse change.', 'datasetCount': 82, 'displayName': 'pollution', 'isInherited': False, 'tagUrl': '/tags/pollution', 'name': 'pollution', 'totalCount': 133, 'competitionCount': 2}]"
19988,lish-moa,2020-11-30,2020-09-03,Mean Columnwise Log Loss,research,TRUE,3,5,2020-11-23,2020-11-23,30000,USD,2512,TRUE,"[{'fullPath': 'topic > earth and nature > biology > genetics', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27genetics%27', 'id': 4406, 'fontAwesomeIcon': None, 'scriptCount': 29, 'description': 'Human genetics encompasses a variety of overlapping fields including: classical genetics, cytogenetics, molecular genetics, biochemical genetics, genomics, population genetics, developmental genetics, clinical genetics, and genetic counseling.', 'datasetCount': 30, 'displayName': 'Genetics', 'isInherited': False, 'tagUrl': '/tags/human-genetics', 'name': 'genetics', 'totalCount': 61, 'competitionCount': 2}, {'fullPath': 'topic > earth and nature > biology', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27biology%27', 'id': 7100, 'fontAwesomeIcon': None, 'scriptCount': 125, 'description': 'Explore datasets and kernels about gene expressions, transcriptomics, and even the works of Charles Darwin.', 'datasetCount': 1638, 'displayName': 'biology', 'isInherited': False, 'tagUrl': '/tags/biology', 'name': 'biology', 'totalCount': 1769, 'competitionCount': 6}, {'fullPath': 'data type > tabular data', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27tabular data%27', 'id': 14101, 'fontAwesomeIcon': None, 'scriptCount': 336, 'description': None, 'datasetCount': 334, 'displayName': 'tabular data', 'isInherited': False, 'tagUrl': '/tags/tabular-data', 'name': 'tabular data', 'totalCount': 776, 'competitionCount': 106}, {'fullPath': 'topic > health and fitness > health > healthcare > drugs and medications', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27drugs and medications%27', 'id': 16221, 'fontAwesomeIcon': None, 'scriptCount': 41, 'description': None, 'datasetCount': 230, 'displayName': 'drugs and medications', 'isInherited': False, 'tagUrl': '/tags/drugs-and-medications', 'name': 'drugs and medications', 'totalCount': 272, 'competitionCount': 1}]"
19990,lyft-motion-prediction-autonomous-vehicles,2020-11-25,2020-08-24,PostProcessorKernel,featured,TRUE,5,5,2020-11-18,2020-11-18,30000,USD,616,TRUE,"[{'fullPath': 'data type > image data', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27image data%27', 'id': 14102, 'fontAwesomeIcon': None, 'scriptCount': 995, 'description': None, 'datasetCount': 1237, 'displayName': 'image data', 'isInherited': False, 'tagUrl': '/tags/image-data', 'name': 'image data', 'totalCount': 2317, 'competitionCount': 85}, {'fullPath': 'topic > science and technology > transportation', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27transportation%27', 'id': 12400, 'fontAwesomeIcon': None, 'scriptCount': 19, 'description': 'Most of the various modes of transport are all covered in this tag. Not all though because so far there are no kernels or datasets about teleportation.', 'datasetCount': 1353, 'displayName': 'Transportation', 'isInherited': False, 'tagUrl': '/tags/transport', 'name': 'transportation', 'totalCount': 1373, 'competitionCount': 1}, {'fullPath': 'topic > science and technology > transportation > automobiles and vehicles', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27automobiles and vehicles%27', 'id': 12402, 'fontAwesomeIcon': None, 'scriptCount': 70, 'description': 'The automobile tag is everything about cars. Analyze insurance rates or how far you can go on one gallon of petrol.', 'datasetCount': 1500, 'displayName': 'Automobiles and Vehicles', 'isInherited': False, 'tagUrl': '/tags/automobiles', 'name': 'automobiles and vehicles', 'totalCount': 1574, 'competitionCount': 4}, {'fullPath': 'data type > tabular data', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27tabular data%27', 'id': 14101, 'fontAwesomeIcon': None, 'scriptCount': 336, 'description': None, 'datasetCount': 334, 'displayName': 'tabular data', 'isInherited': False, 'tagUrl': '/tags/tabular-data', 'name': 'tabular data', 'totalCount': 776, 'competitionCount': 106}]"
22307,rsna-str-pulmonary-embolism-detection,2020-10-26,2020-09-10,Weighted Mean Columnwise Log Loss,featured,TRUE,5,5,2020-10-19,2020-10-19,30000,USD,578,TRUE,"[{'fullPath': 'topic > health and fitness > health', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27health%27', 'id': 11111, 'fontAwesomeIcon': None, 'scriptCount': 191, 'description': 'Consider the health tag your data science gym. Get in there and work out those data science muscles on health analytics. Analyze heart disease until you sweat. Then recover with with a nice candy production dataset.', 'datasetCount': 2644, 'displayName': 'health', 'isInherited': False, 'tagUrl': '/tags/health', 'name': 'health', 'totalCount': 2837, 'competitionCount': 2}, {'fullPath': 'data type > image data', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27image data%27', 'id': 14102, 'fontAwesomeIcon': None, 'scriptCount': 995, 'description': None, 'datasetCount': 1237, 'displayName': 'image data', 'isInherited': False, 'tagUrl': '/tags/image-data', 'name': 'image data', 'totalCount': 2317, 'competitionCount': 85}]"
21723,google-football,2020-11-30,2020-09-28,Football,featured,FALSE,5,3,2020-11-23,2020-11-23,6000,USD,657,TRUE,"[{'fullPath': 'topic > culture and humanities > games > video games > simulations', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27simulations%27', 'id': 16151, 'fontAwesomeIcon': None, 'scriptCount': 49, 'description': None, 'datasetCount': 26, 'displayName': 'Simulations', 'isInherited': False, 'tagUrl': '/tags/simulation-games', 'name': 'simulations', 'totalCount': 78, 'competitionCount': 3}, {'fullPath': 'technique > reinforcement learning', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27reinforcement learning%27', 'id': 13313, 'fontAwesomeIcon': None, 'scriptCount': 102, 'description': None, 'datasetCount': 18, 'displayName': 'reinforcement learning', 'isInherited': False, 'tagUrl': '/tags/reinforcement-learning', 'name': 'reinforcement learning', 'totalCount': 121, 'competitionCount': 1}]"
3004,digit-recognizer,2030-01-01,2012-07-25,Categorization Accuracy,gettingStarted,FALSE,5,100,,,0,Knowledge,2421,FALSE,"[{'fullPath': 'data type > tabular data', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27tabular data%27', 'id': 14101, 'fontAwesomeIcon': None, 'scriptCount': 336, 'description': None, 'datasetCount': 334, 'displayName': 'tabular data', 'isInherited': False, 'tagUrl': '/tags/tabular-data', 'name': 'tabular data', 'totalCount': 776, 'competitionCount': 106}, {'fullPath': 'technique > classification > multiclass classification', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27multiclass classification%27', 'id': 14202, 'fontAwesomeIcon': None, 'scriptCount': 674, 'description': None, 'datasetCount': 321, 'displayName': 'multiclass classification', 'isInherited': False, 'tagUrl': '/tags/multiclass-classification', 'name': 'multiclass classification', 'totalCount': 1038, 'competitionCount': 43}, {'fullPath': 'data type > image data', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27image data%27', 'id': 14102, 'fontAwesomeIcon': None, 'scriptCount': 995, 'description': None, 'datasetCount': 1237, 'displayName': 'image data', 'isInherited': False, 'tagUrl': '/tags/image-data', 'name': 'image data', 'totalCount': 2317, 'competitionCount': 85}]"
3136,titanic,2030-01-01,2012-09-28,Categorization Accuracy,gettingStarted,FALSE,10,,,,0,Knowledge,17846,FALSE,"[{'fullPath': 'technique > classification > binary classification', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27binary classification%27', 'id': 14201, 'fontAwesomeIcon': None, 'scriptCount': 931, 'description': None, 'datasetCount': 182, 'displayName': 'binary classification', 'isInherited': False, 'tagUrl': '/tags/binary-classification', 'name': 'binary classification', 'totalCount': 1144, 'competitionCount': 31}, {'fullPath': 'data type > tabular data', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27tabular data%27', 'id': 14101, 'fontAwesomeIcon': None, 'scriptCount': 336, 'description': None, 'datasetCount': 334, 'displayName': 'tabular data', 'isInherited': False, 'tagUrl': '/tags/tabular-data', 'name': 'tabular data', 'totalCount': 776, 'competitionCount': 106}]"
5407,house-prices-advanced-regression-techniques,2030-01-01,2016-08-30,Root Mean Squared Logarithmic Error,gettingStarted,FALSE,10,,,,0,Knowledge,4637,FALSE,"[{'fullPath': 'data type > tabular data', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27tabular data%27', 'id': 14101, 'fontAwesomeIcon': None, 'scriptCount': 336, 'description': None, 'datasetCount': 334, 'displayName': 'tabular data', 'isInherited': False, 'tagUrl': '/tags/tabular-data', 'name': 'tabular data', 'totalCount': 776, 'competitionCount': 106}, {'fullPath': 'technique > regression', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27regression%27', 'id': 14203, 'fontAwesomeIcon': None, 'scriptCount': 1394, 'description': None, 'datasetCount': 189, 'displayName': 'regression', 'isInherited': False, 'tagUrl': '/tags/regression', 'name': 'regression', 'totalCount': 1599, 'competitionCount': 16}]"
8587,competitive-data-science-predict-future-sales,2020-12-31,2018-02-19,Root Mean Squared Error,playground,FALSE,5,3,,,0,,9104,FALSE,"[{'fullPath': 'data type > tabular data', 'listingUrl': '/competitions?sortBy=relevance&group=all&search=tag%3A%27tabular data%27', 'id': 14101, 'fontAwesomeIcon': None, 'scriptCount': 336, 'description': None, 'datasetCount': 334, 'displayName': 'tabular data', 'isInherited': False, 'tagUrl': '/tags/tabular-data', 'name': 'tabular data', 'totalCount': 776, 'competitionCount': 106}]"
